"","V1","V2","V3","V4"
"denovo43942",0,0,0,0
"denovo44194",0,0,0,0
"denovo44274",0,0,0,0
"denovo44463",0,0,0,0
"denovo44613",0,0,0,0
"denovo44660",0,0,0,0
"denovo44773",0,0,0,0
"denovo44778",0,0,0,0
"denovo44854",0,0,0,0
"denovo45587",0,0,0,0
"denovo45646",0,0,0,0
"denovo45673",0,0,0,0
"denovo45850",0,0,0,0
"denovo46026",0,0,0,0
"denovo46070",0,0,0,0
"denovo46420",0,0,0,0
"denovo46469",0,0,0,0
"denovo46509",0,0,0,0
"denovo46992",0,0,0,0
"denovo46995",0.0917316376900964,-0.540291452048458,0,0
"denovo47392",0,0,0,0
"denovo47749",0,0,0,0
"denovo47760",0,0,0,0
"denovo47780",0,0,0,0
"denovo47803",0,0,0,0
"denovo47836",0,0,0,0
"denovo48111",0,0,0,0
"denovo48337",0,0,0,0
"denovo48503",0,0,0,0
"denovo48650",0,0,0,0
"denovo48830",0,0,0,0
"denovo48976",0,0,0,0
"denovo49380",0,0,0,0
"denovo49777",0,0,0,0
"denovo50444",0,0,0,0
"denovo50657",0,0,0,0
"denovo50705",0,0,0,0
"denovo50838",0,0,0,0
"denovo50927",0,0,0,0
"denovo51543",0,0,0,0
"denovo52037",0,0,0,0
"denovo52654",0,0,0,0
"denovo52780",0,0,0,0
"denovo53597",0,0,0,0
"denovo54019",0,0,0,0
"denovo54478",0,0,0,0
"denovo55233",0,0,0,0
"denovo55238",0,0,0,0
"denovo55407",0.0248657980070149,0,0,0
"denovo55499",0,0,0,0
"denovo55662",0,0,0,0
"denovo55739",0,0,0,0
"denovo56219",0.366946008565649,0,0,0
"denovo56320",0,0,0,0
"denovo56619",0,0,0,0
"denovo56909",0,0,0,0
"denovo56993",0.167311184276949,0,0,0
"denovo57462",0,0,0,0
"denovo57535",0,0,0,0
"denovo58217",0,0,0,0
"denovo58339",0,0,0,0
"denovo58438",0,0,0,0
"denovo58829",0,0,0,0
"denovo59174",0,0,0,0
"denovo59267",0,0,0,0
"denovo59378",0,0,0,0
"denovo59496",0,0,0,0
"denovo59712",0,0,0,0
"denovo59727",0,0,0,0
"denovo59777",0,0,0,0
"denovo60137",0,0,0,0
"denovo60189",0,0,0,0
"denovo60691",0,0,0,0
"denovo60770",0,0,0,0
"denovo60953",0,0,0,0
"denovo61012",0,0,0,0
"denovo61017",0,0,0,0
"denovo61057",0,0,0,0
"denovo61107",0,0,0,0
"denovo61216",0,0,0,0
"denovo61310",0,0,0,0
"denovo61456",0,0,0,0
"denovo61489",0,0,0,0
"denovo61500",0,0,0,0
"denovo61884",0,0,0,0
"denovo61989",0,0,0,0
"denovo62152",0,0,0,0
"denovo63050",0,0,0,0
"denovo63371",0,0,0,0
"denovo63426",0,0,0,0
"denovo63473",0,0,0,0
"denovo65047",0,0,0,0
"denovo65138",0,0,0,0
"denovo65313",0,0,0,0
"denovo65541",0,0,0,0
"denovo65592",0,0,0,0
"denovo66183",0,0,0,0
"denovo66206",0,0,0,0
"denovo66222",0,0,0,0
"denovo66337",0,0,0,0
"denovo66685",0,0,0,0
"denovo66804",0,0,0,0
"denovo66818",0,0,0,0
"denovo66992",0,0,0,0
"denovo67195",0,0,0,0
"denovo67390",0,0,0,0
"denovo67417",0,0,0,0
"denovo67668",0,0,0,0
"denovo67819",0,0,0,0
"denovo67952",0,0,1.81773653200264,0
"denovo68102",0,0,0,0
"denovo68442",0,0,0,0
"denovo68663",0,0,0,0
"denovo68972",0,0,0,0
"denovo69013",0,0,0,0
"denovo69411",0,0,0,0
"denovo69697",0,0,0,0
"denovo69951",0,0,0,0
"denovo70089",0,0,0,0
"denovo70193",0,0,0,0
"denovo70412",0,0,0,0
"denovo70758",0,0,0,0
"denovo70978",0,0,0,0
"denovo71119",0,0,0,0
"denovo71224",0,0,0,0
"denovo72325",0,0,0,0
"denovo72399",0,0,0,0
"denovo72637",0,0,0,0
