"","V1","V2","V3","V4"
"denovo221989",0,0,0,0
"denovo222123",0.0112003041957824,0,0,0
"denovo222193",0,0,0,0
"denovo222238",0,0,0,0
"denovo222250",0,0,0,0
"denovo222329",0,0,0,0
"denovo222397",0,0,0,0
"denovo222668",0,0,0,0
"denovo223904",0,0,0,0
"denovo224013",0,0,0,0
"denovo225225",0,0,0,0
"denovo225378",0,0,0,0
"denovo225570",0,0,0,0
"denovo225998",0,0,0,0
"denovo226498",0,0,0,0
"denovo226534",0,0,0,0
"denovo226642",0,0,0,0
"denovo226643",0,0,0,0
"denovo226726",0,0,0,0
"denovo226835",0,0,0,0
"denovo227164",0,0,0,0
"denovo227237",0,0,0,0
"denovo227333",0,0,0,0
"denovo227694",0,0,0,0
"denovo227740",0,0,0,0
"denovo228317",0,0,0,0
"denovo228782",0,0,0,0
"denovo228827",0,0,0,0
"denovo228837",0,0,0,0
"denovo229510",0,0,0,0
"denovo229524",0,0,0,0
"denovo229652",0,0,0,0
"denovo229706",0,0,0,0
"denovo229871",0,0,0,0
"denovo229943",0,0,0,0
"denovo230159",0,0,0,0
"Age:Weight_StatusNormal Weight",0.167126951095693,-0.0569349701475238,-0.235857339422592,0.125665358474423
"Age:Weight_StatusOverweight",0.163340711318492,-0.0222076273373833,-0.243296111355928,0.102163027374819
"Age:Weight_StatusObese",0.194698967279407,-0.0979755225319096,-0.256007241163892,0.159283796416394
"Age:Weight_StatusSevere Obesity",-0.594163813745573,-0.724843665884942,1.95080619526089,-0.631798715630371
"Age:Weight_StatusMorbid Obesity",0.147093957778924,-0.0706234222573899,-0.639091723316307,0.562621187794773
"Age:Weight_StatusSuper Obese",-0.267313374685985,1.23914165647292,-1.77294689084005,0.801118609053118
